361207.2172867083,5478394.458047576,fountain,
363274.1992402085,5478728.51293617,theatre,L'Almendra
359595.8398287511,5476597.514630878,theatre,Théatre de la Foudre
362048.7014406404,5477949.7342163045,cinema,Omnia République
359808.1595185065,5478894.964277233,cinema,Pathé
361022.20494064223,5478562.365809809,nightclub,L'Anatole Bar
357713.6477943991,5479573.4596760245,theatre,Espace Culturel François Mitterrand
367168.9718037944,5482877.630568469,fountain,
367204.4781254206,5482641.934226022,fountain,
365209.18985667324,5477700.6468346985,theatre,L'Écho du Robec
359696.798611886,5481394.986412704,theatre,Théâtre du Présent
360863.5247364841,5478252.550625183,studio,France Bleu Normandie
361953.2572142391,5478442.847439784,fountain,La fontaine de pierre
360976.8597849697,5477144.725215447,cinema,Kinepolis
361442.27874973987,5478438.371172342,fountain,
362640.3133098086,5478533.509962447,theatre,Chapelle
361536.11030917196,5478555.882712769,theatre,Salle Sainte-Croix-des-Pelletiers
361626.77231550764,5478037.041447046,nightclub,La Luna
362813.4150505063,5477340.343033179,nightclub,Moonwalk
358717.2060172823,5481505.057041449,fountain,
361894.9975205936,5478595.15469811,fountain,
