361505.8984034001,5478373.465325549,confectionery,Auzou
361485.48514933354,5478401.413431266,confectionery,Auzou Macaron
362734.7768647488,5478375.585738564,bakery,L'Atelier du Pain
363419.9280225182,5480890.199934038,window_construction,Logiclos
361188.60382711113,5478838.095238525,plumber,LCL Agence 76
361365.1562840747,5478072.425821682,hvac,Turbofonte
363175.8677979357,5478358.917906085,metal_construction,Fenet
362727.7744078282,5478347.741628431,bakery,Le Fournil de la Croix de Pierre
361594.56458877237,5475375.094965174,dressmaker,Le P'tit Dé
361815.73804774845,5479018.207171066,dressmaker,L'Atelier D
361681.4734810958,5477490.703228578,electronics_repair,R2S
361513.77721407916,5477564.793963429,dressmaker,Retouches Saint-Sever
358371.9672328561,5480162.192375748,shoemaker,
361934.15430968,5478200.614561549,painter,Atelier de Ferdinand Marrou
360230.2515624757,5473494.601057914,optician,Monville Opticien
361470.06673378067,5478519.947772211,caterer,My Traiteur Bio
361476.38976778754,5478485.259899028,shoemaker,
361764.5999424319,5478523.34565243,jeweller,Adamante
361637.10690375604,5478103.721352329,bakery,La Brioche Chaude
357552.9086786785,5479357.761643977,shoemaker,Cordonnerie St Marc
361706.14679800125,5478115.744866807,pastry,Au Croissant Doré
361715.2294434579,5478336.2285290845,brewery,Les Initiés
